"id","recclass","mass","fall","year","reclat","reclong"
1,"L5",21,"Fell",1880,50.775,6.08333
2,"H6",720,"Fell",1951,56.18333,10.23333
6,"EH4",107000,"Fell",1952,54.21667,-113
10,"Acapulcoite",1914,"Fell",1976,16.88333,-99.9
370,"L6",780,"Fell",1902,-33.16667,-64.95
379,"EH4",4239,"Fell",1919,32.1,71.8
390,"LL3-6",910,"Fell",1949,44.83333,95.16667
392,"H5",30000,"Fell",1814,44.21667,0.61667
398,"L6",1620,"Fell",1930,-31.6,-65.23333
417,"L",1440,"Fell",1920,-30.86667,-64.55
423,"Diogenite-pm",1000,"Fell",1974,16.39806,-9.57028
424,"L6",24000,"Fell",1925,19.08333,8.38333
426,"L6",779,"Fell",1949,29.51667,35.05
427,"H4",1800,"Fell",1838,29.71667,77.95
432,"H",3000,"Fell",1959,8.91667,8.43333
433,"Iron, IVA",50000,"Fell",1981,39.91667,42.81667
446,"CR2-an",160,"Fell",1957,24.41667,39.51667
447,"LL5",700,"Fell",2001,13.66033,28.96
448,"CI1",6000,"Fell",1806,44.11667,4.08333
453,"L/LL4",2000,"Fell",1766,44.65,11.01667
454,"L",625,"Fell",1949,2,22.66667
458,"Eucrite-mmict",252,"Fell",2002,45.82133,6.01533
461,"LL5",700,"Fell",1835,51.78333,-1.78333
462,"L6",3200,"Fell",1873,36.23333,37.13333
463,"H5",908,"Fell",1860,44.88333,8.75
465,"H4",9251,"Fell",1900,50.95,31.81667
466,"L6",228000,"Fell",1883,45.26667,10.15
2276,"H5",32000,"Fell",1899,42.53333,-85.88333
2278,"CV3",2e+06,"Fell",1969,26.96667,-105.31667
48915,"Ureilite-an",3950,"Fell",2008,20.74575,32.41275
2284,"LL5",6000,"Fell",1977,35.27333,44.21556
2290,"H5",6400,"Fell",1895,27.66667,78.25
2294,"Stone-uncl",2700,"Fell",1880,26.58333,85.56667
2295,"L6",3200,"Fell",1898,44.61667,-70.75
2296,"L3",600,"Fell",1969,48.7,37.5
2298,"H6",17900,"Fell",1939,20.88333,76.86667
2302,"Angrite",1500,"Fell",1869,-22.96667,-44.31667
2304,"H4",6500,"Fell",1942,9.53333,39.71667
2305,"H5",2500,"Fell",1971,25.15,105.18333
2313,"L6",320,"Fell",1984,40.81056,140.78556
2318,"LL6",15000,"Fell",1914,53.58333,-2.71667
2320,"L6",3200,"Fell",1803,43.86667,5.38333
2325,"H5",810,"Fell",1954,-33,-66
2329,"H6",5070,"Fell",1932,38.5,-94.3
2340,"H5",7450,"Fell",1950,-31.41667,-60.66667
2345,"H6",41,"Fell",1805,42.45,9.03333
48954,"L6",9500,"Fell",2009,31.805,-97.01
2346,"L6",1300,"Fell",1923,52.05,0.3
2353,"H5",2000,"Fell",1886,43.03333,12.55
4883,"L4",1280,"Fell",1920,25.25417,80.625
4884,"L6",94.2,"Fell",1896,20.06667,-103.66667
4885,"LL6",265,"Fell",1933,34.75,-87
4888,"L6",1384.2,"Fell",1945,34.31667,-96.15
4893,"Aubrite",800,"Fell",1836,44.38333,5.16667
4899,"L6",50000,"Fell",1865,36.16667,3.66667
4900,"L6",2000,"Fell",1842,44.33333,3.23333
4903,"L5",50000,"Fell",1858,43.08333,0.58333
4905,"H4",9330,"Fell",1952,-21.46028,-49.95083
4906,"Iron, IIAB",1230,"Fell",1908,46,13.5
4907,"H",146,"Fell",1855,25,-103.5
4910,"L4",134,"Fell",1968,2.71667,32.83333
4913,"L6",2830,"Fell",1938,36.8,-108
4917,"L6",18000,"Fell",1814,48.6,38
4922,"Iron, IAB-sLL",10322,"Fell",1934,28.48333,78.5
4925,"L4",3700,"Fell",1929,35.96667,-82.48333
4926,"L6",345,"Fell",1922,34.5,-88.66667
4928,"CV3",1000,"Fell",1907,5.38333,16.38333
4934,"Iron, ungrouped",16700,"Fell",1993,16.66667,101.18333
4935,"LL6",11500,"Fell",1871,-6.91667,107.6
4936,"L6",15000,"Fell",1892,27.7,76.33333
